question,answer,rewritten_query,gen_enhanced_k5_persona_mpnet,ctx_count_used,contexts
Is the black color heritable and caused by only one recessive gene locus ?,Yes,Is the black color heritable and caused by only one recessive gene locus ?,The black color is heritable and caused by only one recessive gene locus.,5,"{'passage': 'A melanistic morph of the leopard occurs particularly in mountainous areas and rain forests. The black color is heritable and caused by only one recessive gene locus. In some regions, for example on the Malayan Peninsula, up to half of all leopards are black. In Africa black leopards seem to be most common in the Ethiopian Highlands. While they are commonly called black panthers, the term is not applied exclusively to leopards. Black leopards are less successful on the African plains because their colouration makes them stand out.', 'id': 2456}
---
{'passage': ""Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats."", 'id': 1032}
---
{'passage': 'A pseudo-melanistic leopard has a normal background colour, but its excessive markings have coalesced so that its back seems to be an unbroken expanse of black. In some specimens, the area of solid black extends down the flanks and limbs; only a few lateral streaks of golden-brown indicate the presence of normal background colour. Any spots on the flanks and limbs that have not merged into the mass of swirls and stripes are unusually small and discrete, rather than forming rosettes. The face and underparts are paler and dappled like those of ordinary spotted leopards.', 'id': 2477}
---
{'passage': 'Perhaps one in 50,000 penguins (of most species) are born with brown rather than black plumage.  These are called Isabelline penguins, possibly in reference to the legend that the archduchess Isabella of Austria vowed not to change her undergarments until her husband united the northern and southern Low Countries by taking the city of Ostend--which took three years to accomplish.   Isabellinism is different from albinism, though the faded color of the plumage calls albinism to mind.  Isabelline penguins tend to live shorter lives than normal penguins, as they are not well camouflaged against the deep, and are often passed over as mates.', 'id': 968}
---
{'passage': 'Most other colour morphs of leopards are known only from paintings or museum specimens. There have been very rare examples where the spots of a normal black leopard have coalesced to give a jet black leopard with no visible markings. Pseudo-melanism (abundism) occurs in leopards. The spots are more densely packed than normal and merge to largely obscure the background colour. They may form swirls and, in some places, solid black areas. Unlike a true black leopard the tawny background colour is visible in places. One pseudo-melanistic leopard had a tawny orange coat with coalescing rosettes and spots, but white belly with normal black spots (like a black-and-tan dog).', 'id': 2479}"
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,May a single female lay from several dozen to several thousand eggs during her lifetime ?,A single female may lay from several dozen to several thousand eggs during her lifetime.,5,"{'passage': 'A single female may lay from several dozen to several thousand eggs during her lifetime. Eggs are usually laid according to the substrate the larva will feed on upon hatching. Among others, they can be laid loose in the substrate (e.g. flour beetle), laid in clumps on leaves (e.g. Colorado potato beetle), or individually attached (e.g. mungbean beetle and other seed borers) or buried in the medium (e.g. carrot weevil).', 'id': 2395}
---
{'passage': 'Polar bears mate in April/May over a one week period needed to induce ovulation. The fertilized egg then remains in a suspended state until August or September. During these 4 months, the females then eat prodigial amounts in preparation for pregnancy, doubling their body weight or more. When food becomes scarce in August because of ice breakup, they dig a maternity den in a snow drift and enter a dormant state similar to hibernation. In areas where food is available year-round, they may not enter a den until October. Cubs are born in December without awakening the mother. She remains dormant while nursing her cubs until the family emerges from the den in March. Cubs are weaned at two or three years of age and are separated from their mother. Sexual maturity typically comes at the age of four, but may be delayed by up to two years.', 'id': 2635}
---
{'passage': 'Pairing is generally short but in some cases will last for several hours. During pairing sperm cells are transferred to the female to fertilise the egg.', 'id': 2404}
---
{'passage': 'Some penguins mate for life, others for just one season. They generally raise a small brood, and the parents cooperate in caring for the clutch and the young. During the cold season on the other hand the mates separate for several months to protect the egg. Usually, the male stays with the egg and keeps it warm while the female goes to sea to find food for the baby. When the female comes back, they switch roles.', 'id': 965}
---
{'passage': 'Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.', 'id': 2687}"
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,Lorenzo Romano Amedeo Carlo Avogadro,5,"{'passage': ""Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number."", 'id': 725}
---
{'passage': ""In honour of Avogadro's contributions to the theory of molarity and molecular weights, the number of molecules in one mole was renamed Avogadro's number, N A . It is approximately 6.0221415   10 23 ."", 'id': 736}
---
{'passage': 'Avogadro developed this hypothesis after Joseph Louis Gay-Lussac had published in 1808 his law on volumes (and combining gases). The greatest difficulty Avogadro had to resolve was the huge confusion at that time regarding atoms and molecules   one of the most important contributions of Avogadro\'s work was clearly distinguishing one from the other, admitting that simple particles too could be composed of molecules, and that these are composed of atoms. For instance, John Dalton did not consider this possibility. Avogadro did not actually use the word ""atom"" as the words ""atom"" and ""molecule"" were used almost without difference. He considered that there were three kinds of ""molecules,"" including an ""elementary molecule"" (our ""atom""). Also, a keener attention was given to the definition of mass, as distinguished from weight.', 'id': 741}
---
{'passage': ""Unfortunately, in the performance of related experiments, some inorganic substances showed exceptions to the law. The matter was finally concluded by Stanislao Cannizzaro, as announced at Karlsruhe Congress (1860, four years after Avogadro's death), where he explained that these exceptions happened because of molecular dissociations which occurred at certain temperatures, and that Avogadro's law could determine not only molar masses, but as a consequence, atomic masses too."", 'id': 747}
---
{'passage': ""Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory."", 'id': 749}"
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,kangaroos,5,"{'passage': 'Despite having a herbivorous diet similar to ruminants such as cattle which release large quantities of methane through exhaling and eructation, kangaroos release virtually none. The hydrogen byproduct of fermentation is instead converted into acetate, which is then used to provide further energy. Scientists are interested in the possibility of transferring the bacteria responsible from kangaroos to cattle, since the greenhouse gas effect of methane is 23 times greater than that of carbon dioxide.  Radio Australia - Innovations: ', 'id': 1743}
---
{'passage': 'Faraday worked extensively in the field of chemistry, discovering chemical substances such as benzene (which he called bicarburet of hydrogen), inventing the system of oxidation numbers, and liquefying gases such as chlorine. In 1820 Faraday reported on the first syntheses of compounds made from carbon and chlorine, C 2 H 6  and C 2 H 4 , and published his results the following year.          Faraday also determined the composition of the chlorine clathrate hydrate, which had been discovered by Humphry Davy in 1810.', 'id': 90}
---
{'passage': 'The battery made by Volta is credited to have been the first cell. It consists of two electrodes: one made of zinc, the other of copper. The electrolyte is sulphuric acid. The electrolyte exists in the form 2H +  and SO 4   2- .  The zinc, which is higher than both copper and hydrogen in the electrochemical series, reacts with the negatively charged sulphate. ( SO 4  ) The positively charged hydrogen bubbles start depositing around the copper and take away some of its electrons. This makes the zinc rod the negative electrode and the copper rod the positive electrode.', 'id': 2258}
---
{'passage': 'Methane In Agriculture. 15 August  2004. Retrieved 28 August 2007.', 'id': 1744}
---
{'passage': 'Most of the energy is produced from fossil fuels, mainly coal and oil. Fossil fuels are, however, all imported, because Finland doesn\'t have any fossil fuel sources, unlike neighboring Norway with oil and Estonia with oil shale. Nevertheless, Finland fares exceptionally well with renewable energy: 25 percent of energy is renewable, which is high compared to the EU average 10 percent. About one fifth of all the energy consumed in Finland is wood-based. This is not a remnant of old ages: the pulp and paper industry   Finland\'s third-largest industry   burns its byproducts, such as black liquor residues and waste wood chippings, resulting in net production of energy. Many homeowners also own renewed forests, and use wood as an additional (but not primary) heat source. About seven percent of electricity is produced from peat harvested from Finland\'s extensive bogs. Peat is ""bioenergy"", but there is no consensus whether it is renewable (carbon neutral) or not.', 'id': 1652}"
Is it true that provinces have a large degree of autonomy?,yes,Is it true that provinces have a large degree of autonomy?,yes,5,"{'passage': 'Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into numerous regions. Western Canada consists of British Columbia and three Prairie provinces (Alberta, Saskatchewan, Manitoba). Eastern Canada consists of Central Canada (Quebec and Ontario) and Atlantic Canada (comprised of the three Maritime provinces of New Brunswick, Prince Edward Island, and Nova Scotia; and Newfoundland and Labrador).  Three territories (Yukon, Northwest Territories, and Nunavut) comprise Northern Canada. Provinces have a large degree of autonomy from the federal government,  territories somewhat less. Each has its own provincial or territorial symbols.', 'id': 2322}
---
{'passage': ""Administratively, Indonesia consists of 33 provinces, five of which have special status. Each province has its own political legislature and governor. The provinces are subdivided into regencies (kabupaten) and (kota), which are further subdivided into subdistricts (kecamatan), and again into village groupings (either desa or kelurahan). Following the implementation of regional autonomy measures in 2001, the regencies and cities have become the key administrative units, responsible for providing most government services. The village administration level is the most influential on a citizen's daily life, and handles matters of a village or neighborhood through an elected lurah or kepala desa (village chief)."", 'id': 783}
---
{'passage': ""Quebec underwent profound social and economic changes during the Quiet Revolution of the 1960s. QuÃ©bÃ©cois nationalists began pressing for greater provincial autonomy. The separatist Parti QuÃ©bÃ©cois first came to power in 1976. A referendum on sovereignty-association in 1980 was rejected by a solid majority of the population, and a second referendum in 1995 was rejected by a slimmer margin of just 50.6% to 49.4%.    In 1997, the Canadian Supreme Court ruled unilateral secession by a province to be unconstitutional; Quebec's sovereignty movement has continued nonetheless."", 'id': 2295}
---
{'passage': 'In 1867, with the union of three British North American colonies through Confederation, Canada was formed as a federal, semi-autonomous polity.           This began an accretion of additional provinces and territories and a process of increasing autonomy from the United Kingdom, highlighted by the Statute of Westminster in 1931 and culminating in the Canada Act in 1982 which severed the vestiges of legal dependence on the British parliament.', 'id': 2273}
---
{'passage': 'The provincial authority is part of the executive branch of the national government, and has no elected officials. This system was created in 1634, and underwent few major changes until the redivision of the country into ""greater provinces"" in 1997. Since then, the six provinces have been (see picture on the right):', 'id': 1594}"
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,There is a small heliport at Balzers in Liechtenstein available for charter helicopter flights.,5,"{'passage': 'Air: There is no airport in Liechtenstein (the nearest large airport is ZÃ¼rich Airport). There is a small heliport at Balzers in Liechtenstein   available for charter helicopter flights.', 'id': 2862}
---
{'passage': 'Bus: The Liechtenstein Bus  is a subsidiary of the Swiss Postbus system, but separately run, and connects to the Swiss bus network at Buchs SG and at Sargans as well as the Austrian city of Feldkirch.', 'id': 2860}
---
{'passage': 'The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.', 'id': 2817}
---
{'passage': ""* Harry's Mountain Walks in Liechtenstein The only English language guide to routes up and among Liechtensteins fabulous Alpine peaks; also available in German."", 'id': 2877}
---
{'passage': 'Road: There are about 250 kilometres (155 mi) of paved roadway within Liechtenstein.', 'id': 2858}"
"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,"Did John M. Palmer cast his ballot for the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Wilson refused to stand by the ticket.,5,"{'passage': 'By the time Wilson finished Congressional Government, Grover Cleveland was President, and Wilson had his faith in the United States government restored.  When William Jennings Bryan captured the Democratic nomination from Cleveland\'s supporters in 1896, however, Wilson refused to stand by the ticket.  Instead, he cast his ballot for John M. Palmer, the presidential candidate of the National Democratic Party, or Gold Democrats, a short-lived party that supported a gold standard, low tariffs, and limited government.  David T. Beito and Linda Royster Beito,  ""Gold Democrats and the Decline of Classical Liberalism, 1896-1900,""Independent Review 4 (Spring 2000), 555-75.', 'id': 2144}
---
{'passage': 'Cleveland\'s agrarian and silverite enemies seized control of the Democratic party in 1896, repudiated his administration and the gold standard, and nominated William Jennings Bryan on a Silver Platform. Cleveland silently supported the National Democratic Party (United States) (or ""Gold Democratic"") third party ticket that promised to defend the gold standard, limit government, and oppose protectionism. The party won only 100,000 votes in the general election (just over 1 percent). Agrarians again nominated Bryan in 1900, but in 1904 the conservatives, with Cleveland\'s support, regained control of the Democratic Party and nominated Alton B. Parker.', 'id': 508}
---
{'passage': ""Wilson made himself known at the Democratic Convention in 1912, again denouncing the party bosses by declaring his opponent Champ Clark, the Speaker of the House, as a party boss man. This allowed him to come away with the party's nomination for the President. Shenkman, Richard. p. 275. Presidential Ambition. New York, New York. Harper Collins Publishing, 1999. First Edition. 0-06-018373-X  The Democratic National Committee met in Baltimore in 1912 to select Wilson as their candidate.  He then chose the officers of the Democratic National Committee that would serve the campaign: Charles R. Crane (Taft's Ambassador to China), Vice-President of the Finance Committee; Rolla Wells, twice mayor of St. Louis (from 1901 to 1909), and later Governor of the Federal Reserve Bank at St. Louis, as Treasurer; Henry Morgenthau, Sr., President of the Finance Committee.  His running mate was Gov. Thomas R. Marshall of Indiana. New York Times, Aug 7, 1912"", 'id': 2152}
---
{'passage': '*David T. Beito and Linda Royster Beito,  ""Gold Democrats and the Decline of Classical Liberalism, 1896-1900,""Independent Review 4 (Spring 2000), 555-75.', 'id': 532}
---
{'passage': 'Drawing on remnants of the old Whig, Free Soil, Liberty and Democratic parties, he was instrumental in forming the new Republican Party. In a stirring campaign, the Republicans carried Illinois in 1854 and elected a senator. Lincoln was the obvious choice, but to keep the new party balanced he allowed the election to go to an ex-Democrat Lyman Trumbull.', 'id': 310}"
Are Canada 's two official languages English and French ?,yes,Are Canada 's official languages English and French ?,Canada's two official languages are English and French.,5,"{'passage': ""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories."", 'id': 2358}
---
{'passage': 'English and French are the mother tongues of 59.7% and 23.2% of the population respectively,    and the languages most spoken at home by 68.3% and 22.3% of the population respectively.    98.5% of Canadians speak English or French (English only: 67.5%, French only: 13.3%, both: 17.7%).    English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.', 'id': 2359}
---
{'passage': 'A federation now comprising ten provinces and three territories, Canada is a parliamentary democracy and a constitutional monarchy with Queen Elizabeth II as its head of state. It is a bilingual and multicultural country, with both English and French as official languages at the federal level. Technologically advanced and industrialized, Canada maintains a diversified economy that is heavily reliant upon its abundant natural resources and upon tradeâ\x80\x94particularly with the United States, with which Canada has had a long and complex relationship.', 'id': 2274}
---
{'passage': ""Although 85% of French-speaking Canadians live in Quebec, there are substantial Francophone populations in Ontario, Alberta and southern Manitoba, with an Acadian population in the northern and southeastern parts of New Brunswick constituting 35% of that province's population as well as concentrations in Southwestern Nova Scotia and on Cape Breton Island. Ontario has the largest French-speaking population outside Quebec. The Charter of the French Language in Quebec makes French the official language in Quebec, and New Brunswick is the only province to have a statement of official bilingualism in the constitution.    Other provinces   have no official language(s) as such, but French is used as a language of instruction, in courts, and other government services in addition to English. Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages. In Ontario, French has some legal status but is not fully co-official. Several aboriginal languages have official status in Northwest Territories. Inuktitut is the majority language in Nunavut, and one of three official languages in the territory."", 'id': 2360}
---
{'passage': 'Non-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).', 'id': 2361}"
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,5,"{'passage': ""Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.  The president is elected by popular vote, and resides at Cotroceni Palace. Since the constitutional amendment of 2003, the president's term is five years (previously it was four).  The Romanian Government, which is based at Victoria Palace, is headed by a prime minister, who appoints the other members of his or her cabinet and who is nearly always the head of the party or coalition that holds a majority in the parliament. If, however, none of the parties hold 50% + 1 of the total seats in parliament, the president will appoint the prime minister. Before beginning its term, the government is subject to a parliamentary vote of approval."", 'id': 3140}
---
{'passage': 'Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.', 'id': 3047}
---
{'passage': 'The subsequent disintegration of the FSN produced several political parties including the Romanian Democrat Social Party (PDSR, later  Social Democratic Party, PSD), the Democratic Party (PD) and the ApR (Alliance for Romania). The PDSR party governed Romania from 1990 until 1996 through several coalitions and governments with Ion Iliescu as head of state. Since then there have been three democratic changes of government: in 1996, the democratic-liberal opposition and its leader Emil Constantinescu acceded to power; in 2000 the Social Democrats returned to power, with Iliescu once again president; and in 2004 Traian BÄ\x83sescu was elected president, with an electoral coalition called Justice and Truth Alliance (DA). The government was formed by a larger coalition which also includes the Conservative Party and the ethnic Hungarian party.', 'id': 3090}
---
{'passage': 'Since December 1989, Romania has pursued a policy of strengthening relations with the West in general, more specifically with the United States and the European Union.  It joined the North Atlantic Treaty Organisation (NATO) on March 29, 2004, the European Union (EU) on January 1, 2007, and the International Monetary Fund and the World Bank in 1972, and is a member of the World Trade Organization.', 'id': 3149}
---
{'passage': 'Executive authority is vested in a collegial government (government) comprising the head of government (prime minister) and four government councilors (ministers). The head of government and the other ministers are appointed by the prince upon the proposal and concurrence of the parliament, thus reflecting the partisan balance of the parliament. The constitution stipulates that at least two members of the government be chosen from each of the two regions. The members of the government are collectively and individually responsible to the parliament; the parliament may ask the prince to remove an individual minister or the entire government.', 'id': 2837}"
What field did Woodrow Wilson leave law practice to study?,history and political science,What field did Woodrow Wilson leave law practice to study?,History and political science,5,"{'passage': 'In January 1882, Wilson decided to start his first law practice in Atlanta. One of Wilsonâ\x80\x99s University of Virginia classmates, Edward Ireland Renick, invited Wilson to join his new law practice as partner.  Wilson joined him there in May 1882.  He passed the Georgia Bar. On October 19,1882 he appeared in court before Judge George Hillyer to take his examination for the bar, which he passed with flying colors and he began work on his thesis Congressional Government in the United States.  Competition was fierce in the city with 143 other lawyers, so with few cases to keep him occupied, Wilson quickly grew disillusioned. Moreover, Wilson had studied law in order to eventually enter politics, but he discovered that he could not continue his study of government and simultaneously continue the reading of law necessary to stay proficient. In April 1883, Wilson applied to the new Johns Hopkins University to study for a Ph.D. in history and political science, which he completed in 1886.     He is the only president to date to have earned a Ph.D. In July 1883, Wilson left his law practice to begin his academic studies.   Mulder, John H. Woodrow Wilson: The Years of Preparation. (Princeton, 1978) 71-72.  .', 'id': 2135}
---
{'passage': 'In 1879, Wilson attended law school at University of Virginia for one year but he never graduated. His frail health dictated withdrawal, and he went home to Wilmington, North Carolina where he continued his studies. Wilson was also a member of the Phi Kappa Psi fraternity. In 1885, he married Ellen Louise Axson, the daughter of a minister from Rome, Georgia.', 'id': 2133}
---
{'passage': 'Wilson served on the faculties of Bryn Mawr College and Wesleyan University (where he also coached the football team) and founded the Wesleyan University debate team (which to this date is named the T. Woodrow Wilson debate team) before joining the Princeton faculty as professor of jurisprudence and political economy in 1890. While there, he was one of the faculty members of the short-lived coordinate college, Evelyn College for Women.  Additionally, Wilson became the first lecturer of Constitutional Law at New York Law School where he taught with Charles Evans Hughes.', 'id': 2146}
---
{'passage': ""Thomas Woodrow Wilson was born in Staunton, Virginia in 1856 as the third of four children to Reverend Dr. Joseph Wilson (1822â\x80\x931903) and Janet Woodrow (1826â\x80\x931888). His ancestry was Scots-Irish and Scottish. His paternal grandparents immigrated to the United States from Strabane, County Tyrone, Ireland, while his mother was born in London to Scottish parents. Wilson's father was originally from Steubenville, Ohio where his grandfather had been an abolitionist newspaper publisher and his uncles were Republicans. But his parents moved South in 1851 and identified with the Confederacy. His father defended slavery, owned slaves and set up a Sunday school for them. They cared for wounded soldiers at their church. The father also briefly served as a chaplain to the Confederate army. Wilsonâ\x80\x99s father was one of the founders of the Southern Presbyterian Church in the United States (PCUS) after it split from the northern Presbyterians in 1861. Joseph R. Wilson served as the first permanent clerk of the southern churchâ\x80\x99s General Assembly, was Stated Clerk from 1865-1898 and was Moderator of the PCUS General Assembly in 1879. Wilson spent the majority of his childhood, up to age 14, in Augusta, Georgia, where his father was minister of the First Presbyterian Church. Wilson did not learn to read until he was about 12 years old. His difficulty reading may have indicated dyslexia or A.D.D., but as a teenager he taught himself shorthand to compensate and was able to achieve academically through determination and self-discipline.  He studied at home under his father's guidance and took classes in a small school in Augusta. Link Road to the White House pp. 3-4.  During Reconstruction he lived in Columbia, South Carolina, the state capital, from 1870-1874, where his father was professor at the Columbia Theological Seminary.  Walworth ch 1  In 1873 he spent a year at Davidson College in North Carolina, then transferred to Princeton as a freshman, graduating in 1879. Beginning in his second year, he read widely in political philosophy and history. He was active in the undergraduate discussion club, and organized a separate Liberal Debating Society.  Link, Wilson I:5-6; Wilson Papers I: 130, 245, 314"", 'id': 2132}
---
{'passage': 'Thomas Woodrow Wilson (December 28, 1856â\x80\x93February 3, 1924), was the twenty-eighth President of the United States. A devout Presbyterian and leading ""intellectual"" of the Progressive Era, he served as president of Princeton University then became the reform governor of New Jersey in 1910. With Theodore Roosevelt and William Howard Taft dividing the Republican vote, Wilson was elected President as a Democrat in 1912. He proved highly successful in leading a Democratic Congress to pass major legislation including the Federal Trade Commission, the Clayton Antitrust Act, the Underwood Tariff, the Federal Farm Loan Act and most notably the Federal Reserve System.', 'id': 2129}"
"What have become flippers, useless for flight in the air?",Penguins' wings,"What have become flippers, useless for flight in the air?",wings,5,"{'passage': 'Penguins are superbly adapted to an aquatic life. Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. Within the smooth plumage a layer of air is preserved, ensuring buoyancy. The air layer also helps insulate the birds in cold waters. ', 'id': 957}
---
{'passage': ""Beetles are generally characterised by a particularly hard exoskeleton and hard forewings (elytra). The beetle's exoskeleton is made up of numerous plates called sclerites, separated by thin sutures. This design creates the armoured defences of the beetle while maintaining flexibility. The elytra are not used for flight, but tend to cover the hind part of the body and protect the second pair of wings (alae). The elytra must be raised in order to move the hind flight wings. A beetle's flight wings are crossed with veins and are folded after landing, often along these veins, and are stored below the elytra."", 'id': 2384}
---
{'passage': 'In some beetles, the ability to fly has been lost. These include the ground beetles (family Carabidae) and some ""true weevils"" (family Curculionidae), but also some desert and cave-dwelling species of other families. Many of these species have the two elytra fused together, forming a solid shield over the abdomen. In a few families, both the ability to fly and the elytra have been lost, with the best known example being the glow-worms of the family Phengodidae, in which the females are larviform throughout their lives.', 'id': 2385}
---
{'passage': 'What can be said as certainly as possible in the absence of direct (i.e., fossil) evidence is that by the end of the Cretaceous, the penguin lineage must have been evolutionarily well distinct, though much less so morphologically; it is fairly likely that they were not yet entirely flightless at that time, as flightless birds have generally low resilience to the breakdown of trophic webs which follows the initial phase of mass extinctions because of their below-average dispersal capabilities (see also Flightless Cormorant).', 'id': 974}
---
{'passage': 'They have a very soft underfur which is protected by their outer layer of long guard hair. This traps a layer of air, and keeps them dry and warm under water.', 'id': 1916}"
Is Fillmore the first of two presidents to have been an indentured servant ?,yes,Is Fillmore the first president to be an indentured servant ?,Fillmore is the first of two presidents to have been an indentured servant.,5,"{'passage': '*Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.', 'id': 200}
---
{'passage': ""*Fillmore was the first U.S. President born after the death of a former president, as he was born three weeks after George Washington's death on December 14, 1799."", 'id': 199}
---
{'passage': ""Millard Fillmore (January 7, 1800   March 8, 1874) was the thirteenth President of the United States, serving from 1850 until 1853, and the last member of the Whig Party to hold that office. He was the second Vice President to assume the Presidency upon the death of a sitting President, succeeding Zachary Taylor who died of acute gastroenteritis. Fillmore was never elected President; after serving out Taylor's term, he failed to gain the nomination for the Presidency of the Whigs in the 1852 presidential election, and, four years later, in the 1856 presidential election, he again failed to win election as President as the Know Nothing Party and Whig candidate."", 'id': 148}
---
{'passage': ""Fillmore was descended from Scottish Presbyterians on his father's side and English dissenters on his mother's. He was first apprenticed to a fuller to learn the cloth-making trade. He also served as a home guard in the New York militia for some time. He struggled to obtain an education under frontier conditions, attending New Hope Academy for six months."", 'id': 150}
---
{'passage': 'At the Whig national convention in 1848, the nomination of Gen. Zachary Taylor for president angered the supporters of Henry Clay as well as the opponents of slavery extension into the territory gained by the U.S.-Mexican War. A group of practical Whig politicians nominated Fillmore for vice president, believing that he would heal party wounds and help the ticket carry New York state.', 'id': 156}"
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?","kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.",5,"{'passage': 'Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like all marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.', 'id': 1737}
---
{'passage': 'Hindleg of a kangaroo Kangaroos and wallabies have large, stretchy  tendons in their hind legs. They store elastic strain energy in the tendons of their large hind legs, providing most of the energy required for each hop by the spring action of the tendons rather than by any muscular effort. This is true in all animal species which have muscles connected to their skeleton through elastic elements such as tendons, but the effect is more pronounced in kangaroos.', 'id': 1751}
---
{'passage': ""A kangaroo is a marsupial from the family Macropodidae (macropods, meaning 'large foot'). In common use the term is used to describe the largest species from this family, the Red Kangaroo, the Antilopine Kangaroo, and the Eastern and Western Grey Kangaroo of the Macropus genus. The family also includes many smaller species which include the wallabies, tree-kangaroos, wallaroos, pademelons and the Quokka, some 63 living species in all.  Kangaroos are endemic to the continent of Australia, while the smaller macropods are found in Australia and New Guinea."", 'id': 1722}
---
{'passage': 'Along with dingos and other canids, introduced species like foxes and feral cats also pose a threat to kangaroo populations. Kangaroos and wallabies are adept swimmers, and often flee into waterways if presented with the option. If pursued into the water, a large kangaroo may use its forepaws to hold the predator underwater so as to drown it.  Canadian Museum of Nature - Kangaroo URL accessed January 6, 2007.  Another defensive tactic described by witnesses is catching the attacking dog  with the forepaws and disembowelling it with the hind legs.', 'id': 1746}
---
{'passage': ""Europeans have long regarded Kangaroos as strange animals. Early explorers described them as creatures that had heads like deer (without antlers), stood upright like men, and hopped like frogs.  Combined with the two-headed appearance of a mother kangaroo, this led many back home to dismiss them as travellers' tales for quite some time."", 'id': 1736}"
